ranking,id_sistema,sistema_nome,score
1,13742676811738960007,Sistema E,0.987
2,15689377901922904472,Sistema D,0.964
3,3094574413675758272,Sistema B,0.951
4,4458959843028638627,Sistema C,0.945
5,1257277410380486863,Sistema A,0.942
6,18313131241423355789,Sistema F,0.927
