ranking,id_sistema,sistema_nome,score
1,13742676811738960007,Sistema E,0.84
2,3094574413675758272,Sistema B,0.827
3,1257277410380486863,Sistema A,0.8
4,15689377901922904472,Sistema D,0.773
5,18313131241423355789,Sistema F,0.772
6,4458959843028638627,Sistema C,0.761
